University,Department,Overall Pay,LW Ratio,Academic Year,Field,School
Cornell University (CU),pharmacology,57375.0,2.37,2015-2016,STEM,Ivy
Washington University in St. Louis (Wash U),Philosophy,25360.0,1.23,2018-2019,Humanities,
CUNY Graduate School and University Center,Chemistry,30000.0,1.01,2018-2019,STEM,
University of Utah,Biosciences,28000.0,1.26,2018-2019,STEM,
Iowa State University (ISU),Industrial Engineering,21500.0,1.01,2018-2019,STEM,
Southern Methodist University (SMU),Biostatistics,28000.0,1.3,2018-2019,STEM,
University of Virginia (UVA),Music,24000.0,1.05,2018-2019,Humanities,
New Jersey Institute of Technology,Management ,22000.0,0.81,2018-2019,Business,
DePaul University (DPU),Psychology,19500.0,0.8,2018-2019,Social Science,
New York University (NYU),Sociology,26700.0,0.9,2018-2019,Social Science,
University of Melbourne,Department of Psychiatry,30900.0,,2018-2019,Social Science,
Pennsylvania State University (Penn State),Chemistry,28221.0,1.26,2019-2020,STEM,
University of Illinois - Chicago (UIC),Sociology,18072.0,0.74,2018-2019,Social Science,
Howard University (HU),Chemical Engineering,22100.0,0.72,2018-2019,STEM,
University of Texas - Dallas (UTD),Neuroscience,24000.0,1.11,2018-2019,STEM,
University of Virginia (UVA),chemical engineering ,27000.0,1.18,2018-2019,STEM,
Princeton University,Computer Science,26100.0,1.03,2018-2019,STEM,Ivy
Arizona State University (ASU),School of Politics and Global Studies,17650.0,0.8,2018-2019,Humanities,
University of Texas - Austin (UT),Materials Science and Engineering,33000.0,1.45,2018-2019,STEM,
University of Missouri (MU),Molecular Microbiology and Immunology,23200.0,1.13,2018-2019,STEM,
University of Iowa (UI),Neuroscience,28000.0,1.26,2018-2019,STEM,
University of Rochester (UR),math,18000.0,0.84,2018-2019,STEM,
University of Rochester (UR),Mathematics,17450.0,0.82,2018-2019,STEM,
University of Rochester (UR),Mathematics,19980.0,0.93,2018-2019,STEM,
University of Rochester (UR),Mathematics,23500.0,1.1,2018-2019,STEM,
University of Rochester (UR),Mathematics,18000.0,0.84,2018-2019,STEM,
University of Georgia (UGA),Higher Education,22800.0,1.08,2018-2019,Social Science,
Louisiana State University School of Medicine - Shreveport,Microbiology and Immunology,26000.0,1.2,2018-2019,STEM,
New York University (NYU),Biology,39000.0,1.31,2018-2019,STEM,
University of Maryland - College Park (UMD),Chemical and Biomolecular Engineering,30535.0,1.01,2018-2019,STEM,
University of California - San Francisco (UCSF),Neuroscience,38000.0,1.27,2018-2019,STEM,
Florida State University (FSU),Economics,19872.0,0.85,2018-2019,Social Science,
Pennsylvania State University (Penn State),Economics,33750.0,1.5,2019-2020,Social Science,
Boston University (BU),Philosophy,22500.0,0.79,2018-2019,Humanities,
The Ohio State University,Earth Sciences,18072.0,,2018-2019,STEM,
University of California - Riverside (UCR),Psychology,18000.0,0.75,2018-2019,Social Science,
University of Maryland - College Park (UMD),Second Language Acquisition MA,17480.0,0.58,2018-2019,Humanities,
East Carolina University (ECU),Microbiology and Immunology PhD,22264.0,1.03,2018-2019,STEM,
Colorado School of Mines,Chemical Engineering,27000.0,1.2,2017-2018,STEM,
Worcester Polytechnic Institute (WPI),Chemical Engineering,32000.0,1.42,2018-2019,STEM,
University of Wisconsin - Milwaukee (UWM),Anthropology,15000.0,0.7,2017-2018,Humanities,
University of Washington (UW),Microbiology,31900.0,1.37,2018-2019,STEM,
Washington University in St. Louis (Wash U),Genetics,30500.0,1.48,2018-2019,STEM,
University of Colorado - Boulder (UCB),Geological Sciences,34000.0,1.33,2018-2019,STEM,
University of Colorado - Boulder (UCB),Geological Sciences,24000.0,0.94,2016-2017,STEM,
Indiana University,Biology,25000.0,1.16,2018-2019,STEM,
University of Minnesota - Twin Cities (UM),Neuroscience,30000.0,1.31,2018-2019,STEM,
University of Florida (UF),Molecular genetics ,27800.0,1.22,2018-2019,STEM,
University of Washington (UW),Immunology,34200.0,1.47,2018-2019,STEM,
University of North Carolina - Chapel Hill (UNC),Environmental Sciences and Engineering,24324.0,1.09,2018-2019,STEM,
University of Louisville (U of L),Pharmacology and Toxicology,22000.0,1.07,2018-2019,STEM,
University of Tennessee Health Science Center,Biomedical Sciences,26505.0,1.18,2018-2019,STEM,
Virginia Tech,Statistics ,43000.0,2.04,2018-2019,STEM,
University of Texas - Austin (UT),Statistics,20250.0,0.89,2018-2019,STEM,
University of Missouri (MU),Statistics,20600.0,1.0,2018-2019,STEM,
Florida State University (FSU),Statistics,15012.0,0.64,2018-2019,STEM,
University of California - Los Angeles (UCLA),Molecular Biology,32000.0,1.24,2017-2018,STEM,
Texas A&amp;M; University - College Station,Statistics ,43000.0,,2018-2019,STEM,
University of Texas Southwestern Medical Center - Dallas,Neuroscience,31996.0,1.48,2018-2019,STEM,
University of Colorado - Boulder (UCB),Geological Sciences,22472.0,0.88,2018-2019,STEM,
Montana State University (MSU),Land Resources and Environmental Science,28000.0,1.34,2018-2019,STEM,
Duke University (DU),Biomedical Engineering,44000.0,1.98,2018-2019,STEM,
Duke University (DU),Biomedical Engineering,31000.0,1.39,2018-2019,STEM,
Duke University (DU),Genetics & Genomics,31160.0,1.4,2018-2019,STEM,
Northern Arizona University (NAU),Biology,24300.0,1.04,2018-2019,STEM,
Binghamton University - SUNY,Political Science,20200.0,0.98,2018-2019,Social Science,
Michigan Technological University (MTU),Geology,25661.0,1.26,2017-2018,STEM,
University of Michigan - Ann Arbor (UM),Philosophy,27650.0,1.2,2018-2019,Humanities,
University of Rochester (UR),Biochemistry,31600.0,1.48,2017-2018,STEM,
University of Rochester (UR),Mechanical Engineering,28000.0,1.31,2018-2019,STEM,
University of Virginia (UVA),Biology,30500.0,1.34,2018-2019,STEM,
Louisiana State University - Baton Rouge,Geography,15000.0,0.69,2018-2019,STEM,
University of Maryland - College Park (UMD),Mechanical ,22624.0,0.75,2018-2019,STEM,
Illinois State University (ISU),School of Biological Sciences,16200.0,0.72,2018-2019,STEM,
Boston University (BU),Anthropology,21000.0,0.73,2018-2019,Humanities,
Rice University,Chemistry,28464.0,1.3,2018-2019,STEM,
Rutgers the State University of New Jersey - New Brunswick,Neuroscience,29600.0,1.15,2018-2019,STEM,
University at Buffalo - SUNY,Pharmacology & Toxicology,27000.0,1.28,2018-2019,STEM,
University at Buffalo - SUNY,Pharmacology & Toxicology,27000.0,1.28,2018-2019,STEM,
Clemson University (CU),Biochemistry and Molecular Biology,23665.0,1.14,2018-2019,STEM,
University of Central Florida (UCF),Anthropology PhD,18000.0,0.78,2018-2019,Humanities,
Texas A&amp;M; University - College Station,Aerospace Engineering,24000.0,,2018-2019,STEM,
Brown University,anthropology,35000.0,1.54,2018-2019,Humanities,Ivy
University of Louisiana - Lafayette,English,17700.0,0.84,2018-2019,Humanities,
University of Texas - Arlington (UTA),Biology,20800.0,0.95,2017-2018,STEM,
university of  Maryland ,biology,21000.0,,2018-2019,STEM,
Arizona State University (ASU),Business,27000.0,1.22,2018-2019,Business,
Virginia Commonwealth University (VCU),School of Medicine,27000.0,1.09,2018-2019,STEM,
Case Western Reserve University,Biomedical Engineering,24964.0,1.25,2017-2018,STEM,
Rice University,Biosciences,29000.0,1.33,2018-2019,STEM,
Rutgers the State University of New Jersey - New Brunswick,Education,20000.0,0.78,2018-2019,Social Science,
Rutgers the State University of New Jersey - New Brunswick,Education,20000.0,0.78,2018-2019,Social Science,
University of Virginia (UVA),microbiology,30000.0,1.31,2018-2019,STEM,
Carnegie Mellon University (CMU),School of Computer Science,32400.0,1.57,2018-2019,STEM,
University of Texas - Austin (UT),College of Pharmacy,30000.0,1.31,2018-2019,STEM,
University of Texas - Austin (UT),College of Pharmacy,30000.0,1.31,2018-2019,STEM,
University of Nebraska - Lincoln (NU),Political Science,15000.0,0.77,2018-2019,Social Science,
Clemson University (CU),industrial engineering,22000.0,1.06,2019-2020,STEM,
University of Michigan - Ann Arbor (UM),Political Science,30598.0,1.33,2018-2019,Social Science,
University of Texas - Austin (UT),Mechanical Engineering ,24300.0,1.06,2018-2019,STEM,
University of Illinois - Chicago (UIC),english,18000.0,0.74,2018-2019,Humanities,
Arizona State University (ASU),Neuroscience,15200.0,0.68,2016-2017,STEM,
Arizona State University (ASU),Bioinformatics,18500.0,0.83,2017-2018,STEM,
Clemson University (CU),Physics,18000.0,0.86,2018-2019,STEM,
Georgia Institute of Technology (Georgia Tech),Psychology PhD,15934.0,0.68,2018-2019,Social Science,
Georgia Institute of Technology (Georgia Tech),Psychology PhD,15934.0,0.68,2018-2019,Social Science,
Georgia Institute of Technology (Georgia Tech),Psychology PhD,25434.0,1.09,2018-2019,Social Science,
Arizona State University (ASU),Education,17500.0,0.79,2017-2018,Social Science,
University of Louisville (U of L),Environment,21000.0,1.02,2019-2020,STEM,
University of Cincinnati (UC),Physics ,20820.0,1.08,2018-2019,STEM,
Yale University (YU),Clinical Psychology,31000.0,1.25,2018-2019,Social Science,Ivy
University of Texas - Dallas (UTD),Computer Science,23400.0,1.08,2018-2019,STEM,
Wayne State University,chemistry,21000.0,1.01,2018-2019,STEM,
Purdue University - West Lafayette,Communication PhD,23650.0,1.12,2018-2019,Social Science,
University of Colorado - Boulder (UCB),Materials Science and Engineering,29200.0,1.15,2018-2019,STEM,
University of Notre Dame,Department of Computer Science and Engineering,32500.0,,2018-2019,STEM,
Emory University,economics,25500.0,1.09,2018-2019,Social Science,
Emory University,economics,25500.0,1.09,2018-2019,Social Science,
West Virginia University (WVU),Economics,25250.0,1.13,2018-2019,Social Science,
University of Notre Dame (ND),Economics,26000.0,1.27,2018-2019,Social Science,
Virginia Commonwealth University (VCU),Mechanical and Nuclear Engineering ,26000.0,1.05,2018-2019,STEM,
Rutgers the State University of New Jersey - New Brunswick,Political Science,28000.0,1.09,2017-2018,Social Science,
Stony Brook University - SUNY,Political Science,24300.0,0.87,2018-2019,Social Science,
University at Buffalo - SUNY,Political Science,17800.0,0.85,2018-2019,Social Science,
Rensselaer Polytechnic Institute (RPI),ECSE,21680.0,0.95,2018-2019,STEM,
University of Virginia (UVA),Materials Science and Engineering,28000.0,1.23,2018-2019,STEM,
Ohio State University (OSU),physics,24800.0,1.24,2018-2019,STEM,
Emory University,Genetics & Molecular Biology,30300.0,1.3,2018-2019,STEM,
University of Delaware (UD),Bioinformatics,32000.0,1.26,2018-2019,STEM,
Rice University,Anthropology,21500.0,0.98,2018-2019,Humanities,
Boston University (BU),Physics,33990.0,1.19,2018-2019,STEM,
Emory University,Art History,25437.0,1.09,2018-2019,Humanities,
University of California - Berkeley,Sociology ,30500.0,1.1,2018-2019,Social Science,
Clemson University (CU),Chemistry,18000.0,0.86,2018-2019,STEM,
University of Chicago (UC),Psychology,29525.0,1.22,2018-2019,Social Science,
University of California - Los Angeles (UCLA),political science,29000.0,1.12,2018-2019,Social Science,
Loyola University Chicago (LUC),IPBS - Pharmacology,30000.0,1.24,2018-2019,STEM,
University of North Texas (UNT),Chemistry,22000.0,1.02,2018-2019,STEM,
New York University (NYU),Spanish & Portuguese Languages and Literatures,27000.0,0.91,2018-2019,Humanities,
University of Pennsylvania,Biochemistry and Molecular Biophysics,32000.0,1.33,2018-2019,STEM,Ivy
University of Southern California (USC),History,34000.0,1.31,2018-2019,Humanities,
University of Alabama - Birmingham (UAB),Biostatistics,24000.0,1.11,2017-2018,STEM,
Pennsylvania State University (Penn State),College of Information Science and Technology,21000.0,0.94,2017-2018,STEM,
University of Southern California (USC),Molecular and computational biology,34000.0,1.31,2018-2019,STEM,
University of Wisconsin - Madison (UW),Chemistry,25500.0,1.12,2018-2019,STEM,
University of Wisconsin - Madison (UW),Chemistry,25430.0,1.11,2018-2019,STEM,
Arizona State University (ASU),Neuroscience,25000.0,1.13,2018-2019,STEM,
Pennsylvania State University (Penn State),Immunology and Infectious Disease,27500.0,1.22,2017-2018,STEM,
University of Chicago (UC),Comparative Literature,28531.0,1.18,2018-2019,Humanities,
Rice University,Mathematics,23417.0,1.07,2018-2019,STEM,
Yale University (YU),engineering,35000.0,1.42,2018-2019,STEM,Ivy
Wesleyan University,Mathematics ,33031.0,1.31,2018-2019,STEM,
University of Washington (UW),Chemistry,27000.0,1.35,2007-2008,STEM,
University of Washington (UW),Chemistry,37000.0,1.85,2007-2008,STEM,
University of Massachusetts - Amherst (UMass),Chemistry,22200.0,0.97,2018-2019,STEM,
Florida International University (FIU),Chemistry,42000.0,1.76,2018-2019,STEM,
Auburn University (AU),Chemistry and Biochemistry,24300.0,1.12,2018-2019,STEM,
Rutgers the State University of New Jersey - Newark,Biology,23400.0,0.86,2018-2019,STEM,
University of Connecticut (UConn),Chemistry,22747.0,0.94,2018-2019,STEM,
University of Pennsylvania,Electrical and System Engineering,33000.0,1.37,2018-2019,STEM,Ivy
University of California - Santa Cruz,Ecology and Evolutionary Biology,31226.0,1.16,2018-2019,STEM,
The University of North Texas,Chemistry,18340.0,,2018-2019,STEM,
Clemson University (CU),Chemistry,18000.0,0.86,2018-2019,STEM,
University of Wisconsin - Madison (UW),Chemistry,25000.0,1.26,2013-2014,STEM,
University of Virginia (UVA),Chemistry,27000.0,1.18,2018-2019,STEM,
Drexel University (DU),Chemistry,23500.0,0.97,2018-2019,STEM,
University of the Sciences in Philadelphia,Biochemistry,22731.0,0.94,2018-2019,STEM,
University of Pittsburgh,school of medicine,30000.0,1.45,2018-2019,STEM,
Columbia University (CU),Chemistry,39133.0,1.32,2018-2019,STEM,Ivy
Columbia University (CU),Chemistry,39088.0,1.31,2018-2019,STEM,Ivy
Rowan University,Cell and Molecular Biology,28455.0,,2018-2019,STEM,
Virginia Tech,Chemistry,22575.0,1.07,2018-2019,STEM,
Montana State University (MSU),Chemistry and Biochemistry,23000.0,1.1,2018-2019,STEM,
Yale University,Chemistry,36000.0,,2018-2019,STEM,Ivy
Weill Cornell Medicine,Pharmacology,39815.0,,2018-2019,STEM,
Stony Brook University - SUNY,Chemistry,29300.0,1.05,2018-2019,STEM,
University of California - Berkeley,Chemistry,43000.0,1.55,2018-2019,STEM,
Penn State College of Medicine,Biomedical Sciences,32000.0,,2018-2019,STEM,
Ohio State University (OSU),School of Communication,24400.0,1.22,2018-2019,Social Science,
University of Southern California (USC),Political Science,32500.0,1.26,2018-2019,Social Science,
University of Utah,Biology - EEOB,24000.0,1.08,2018-2019,STEM,
University of Delaware (UD),Coastal Engineering,24500.0,0.96,2016-2017,STEM,
Boston University (BU),Electrical and Computer Engineering,34650.0,1.21,2018-2019,STEM,
University of Minnesota - Twin Cities (UM),Biomedical Engineering ,23200.0,1.01,2018-2019,STEM,
Purdue University - West Lafayette,Mechanical Engineering,37500.0,1.77,2018-2019,STEM,
Florida International University (FIU),marketing,25000.0,1.05,2018-2019,Business,
University of Rochester (UR),Medicine,28967.0,1.35,2018-2019,STEM,
University of California - San Diego (UCSD),Neuroscience,34000.0,1.28,2018-2019,STEM,
Brown University,Sociology,32000.0,1.41,2017-2018,Social Science,Ivy
Harvard University (HU),physics,30690.0,1.07,2018-2019,STEM,
"Griffith University, Australia ",MECHANICAL,28000.0,,2018-2019,STEM,
Yale University (YU),Electrical,35000.0,1.42,2018-2019,STEM,Ivy
Rice University,Chemistry,29000.0,1.33,2018-2019,STEM,
Carnegie Mellon University (CMU),Human-Computer Interaction Institute,31000.0,1.5,2018-2019,STEM,
University of Pennsylvania,Physics,30176.0,1.25,2018-2019,STEM,Ivy
Idaho State University (ISU),political science,18500.0,0.98,2018-2019,Social Science,
University of Rochester (UR),Mechanical Engineering ,29000.0,1.36,2018-2019,STEM,
Loyola University Chicago (LUC),Political Science,17530.0,0.72,2018-2019,Social Science,
Texas A&amp;M; University - College Station,Political Science,20000.0,,2018-2019,Social Science,
